Format,Players,Name,URL,Date,Status,Organization
Standard,77,LCQ - Standard - SCG CON Milwaukee - Friday - 11:30 am,"https://melee.gg/Tournament/View/395177",2026-02-20,Ended,Star City Games
Standard,77,LCQ - Standard - SCG CON Portland - Friday - 12:00 pm,"https://melee.gg/Tournament/View/389972",2026-01-23,Ended,Star City Games
Standard,76,LCQ - Standard - SCG CON Milwaukee - Friday - 3:00 pm,"https://melee.gg/Tournament/View/395192",2026-02-20,Ended,Star City Games
Standard,76,MIT Championship 台灣冠軍賽-第十一輪 ,"https://melee.gg/Tournament/View/385576",2026-03-08,Ended,GameSquare
Standard,76,ReCQ - Standard - SCG CON Milwaukee - Sunday - 12:00 pm,"https://melee.gg/Tournament/View/395248",2026-02-22,Ended,Star City Games
Standard,75,ReCQ - Standard - SCG CON Atlanta - Friday - 2:00 pm,"https://melee.gg/Tournament/View/387505",2026-01-09,Ended,Star City Games
Standard,74,LCQ - Standard - SCG CON Milwaukee - Friday - 3:30 pm,"https://melee.gg/Tournament/View/395183",2026-02-20,Ended,Star City Games
Standard,71,LCQ - Standard - SCG CON Milwaukee - Friday - 10:00 am,"https://melee.gg/Tournament/View/395186",2026-02-20,Ended,Star City Games
Standard,70,LCQ - Standard - SCG CON Portland - Friday - 1:00 pm,"https://melee.gg/Tournament/View/389974",2026-01-23,Ended,Star City Games
Standard,70,LCQ - Standard - SCG CON Portland - Friday - 10:30 am,"https://melee.gg/Tournament/View/389969",2026-01-23,Ended,Star City Games
Standard,67,LCQ - Standard - SCG CON Milwaukee - Friday - 11:00 am,"https://melee.gg/Tournament/View/395187",2026-02-20,Ended,Star City Games
Standard,67,LCQ - Standard - SCG CON Portland - Friday - 1:30 pm,"https://melee.gg/Tournament/View/389976",2026-01-23,Ended,Star City Games
Standard,66,LCQ - Standard - SCG CON Portland - Friday - 11:30 am,"https://melee.gg/Tournament/View/389971",2026-01-23,Ended,Star City Games
Standard,64,LCQ - Standard - SCG CON Milwaukee - Friday - 2:00 pm,"https://melee.gg/Tournament/View/395191",2026-02-20,Ended,Star City Games
Standard,64,蒼紅杯 ~ローウィンの昏明~ Izzet Explosive Experiment Event,"https://melee.gg/Tournament/View/396293",2026-01-25,Ended,蒼紅杯
Standard,63,LCQ - Standard - SCG CON Milwaukee - Friday - 12:00 pm,"https://melee.gg/Tournament/View/395189",2026-02-20,Ended,Star City Games
Standard,63,LCQ - Standard - SCG CON Portland - Friday - 10:00 am,"https://melee.gg/Tournament/View/389968",2026-01-23,Ended,Star City Games
